channelId,channelTitle,categoryId
UC62C8xnjBJzUdH4-kftzIvg,The Investor Show,22
UCQItI-dHaUjWcZmoO-KzoQA,Money Recall,27
UC70Ya2BGcAjFaazJk_Ig5UA,Acuity Insurance,24
UCqVmFgjZqKJbptTc7sCvyrQ,Michael Yan,28
UC3xS3U_vQmJHexJQGHNDKRQ,InfoGrow,28
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,25
UCAKXp2kd04ZbCqlZl-3DSPg,BrightScope,22
UC82_3893X1tFjxj6U5FoqsA,TheDealVideo,25
UCjkY25XPG9BVG_yPAuze3CA,Yfl Kelvin,10
UCmmzrH-DSvhmyPJMSdZRi4w,CAN Capital,22
UC6q4vEZSMN3O8sIOkkt599Q,Style With Substance,27
UCyaL8QllDEAYiqpFz0tBWog,CARDFIGHTVanguard,1
UCj3EXpr5v35g3peVWnVLoew,Tyler DeWitt,27
UCIjSUWHWp6KohfnR5OQTXnQ,Fox5NY,25
UCRmzyV3wFq2MARTsroMVNzQ,D wie Dividende,27
UCtwUJ9r7NE-tvRdQ1-a49HA,BrittNicoleVEVO,10
UCEcJ4CO0DItmakInXAe1VTw,muqassirshah,24
UCJCVxutq2-YeLj6lzDeOWDg,Omidyar Network,22
UCPpSqOzcsxtzPIV4QxOVqrA,Regular Guy Productions,26
UCooI1asrAuy2hZx7XEhwqdQ,bigapplefan123456,22
UC5EsN7PEGgvxh92mB2rY1uQ,Lowescompany Music Productions - Topic,10
UCdMbo3RknL1cwOxnd_cdNUA,TradeTheTrend,25
UCqpB2gkCiCaqGiCV6hB55Nw,Sure Dividend,22
UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,25
UCdMbo3RknL1cwOxnd_cdNUA,TradeTheTrend,25
UCfoQFsGxAFpyt8mg8kBYLIg,CNO Financial Group,22
UCOj4SJrwR4ROI1ySroJ6INQ,freddiemac,1
UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Markets and Finance,25
UCHTK8aUXF4J3hsSt0_afGeg,sorenchristensen1,27
UCUyfg8Ht01PSy6gWC3cUkCw,Overtime Studios,26
UChBQgieUidXV1CmDxSdRm3g,Kenya CitizenTV,25
UCY70MMJ8Rj4wtwt7bVN6hIA,Bank of England,27
UCNjPtOCvMrKY5eLwr_-7eUg,Alux.com,27
UClvLbHceTM_nGF9dQLruJNQ,Lloyds Victims,22
UCboMaeOObINdFufyUF0eeyA,CreativeNomad TV,22
UCsK9grupHNsIsSqIAyBBU7w,Money Unshackled,27
UClAfSxKoD4qxOQ4s3DvoaTA,ConjuntoPrimavraVEVO,10
UCnxrdFPXJMeHru_b4Q_vTPQ,Simply Explained - Savjee,28
UC__spnljoqvOVYaMTMsSn3g,Stu’s Reviews,28
UCppwOYTEsQel-lq-sDsktcQ,Yielders Investment,22
UC3eVdgT1EHwIxG5ynO42XXg,11FS,22
UCI_mwTKUhicNzFrhm33MzBQ,ET NOW,25
UCC0uZp89jY5Qg0bU_2j8Leg,indian stocks technical analysis by Rajasekar,22
UCedqqjlQZQGqyR_a_2c8rMg,Nareit1,25
UCqM8eryZbVt6nCjREYLIRUw,PwC,22
UCsba91UGiQLFOb5DN3Z_AdQ,CNBCAfrica,25
UCVY9wVMNOXlJ0IDobGo2aqQ,BIBAbroker,29
UC5nc_ZtjKW1htCVZVRxlQAQ,MrSuicideSheep,24
UCk-NV4JY_yTlCiwWukz4CVg,Hits Berry,24
UCQfBtMOs07bff6CYvSpbECw,Bundesministerium für Wirtschaft und Energie,25
UCqmQ1b96-PNH4coqgHTuTlA,ARD,25
UCwddb8hl_xysTSGW7iiuyEA,LordMatrim,20
UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,28
UCfELJXYUv2bE1f-ohJj-1jQ,TDBankUS,29
UCbJ_wWd0dCQCfuKbgPW-Y0Q,Stock Market Adda,27
UCQHJkK8oqjcszmgdnNnL3Kg,Jibanjyoti Panigrahi,27
UCUfz5FIJA2Wd3FSE6SjYqwA,The Muthoot Group,25
UC46YJ9p0d6MSUXRZFRZrwGQ,RTVMalacanang,25
UCKpehpHKxOEqxlmIcNpifgQ,KOSEC - Kodari Securities,25
UCLCUbvRrQnApZldY6CTquTA,Studio 10,24
UCvjAgLhWuHN0Tt5AryLfHrw,Automobile Classics,2
UCcLvezpiwGL5S0yeH-wS1KQ,Royal Bank of Scotland,26
UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Markets and Finance,25
UCFaowt0i_mTHtZS-153yDRA,Leonardo Gonzalez,27
UC_MiX28ydqzqEERnt0qzkdg,The Market is Open,25
UCd1_8N63CtPixQ8G7IhNUyA,Peter Rafalow,22
UClLrCMRSTp-7N9M6kylQ7Nw,Darryl Barksdale,10
UC5pSzJiI7-CmgJ9VUXvkr9g,Veterans United,27
UC3OsglK9jXigknWLbSVQzrA,New American Funding,27
UCg1os2LulSx1dBvjvIW3sew,Secure Login,27
UChoKcVby1ARGHc6v6dOT0uQ,desjardinsgroup,27
UCk9WLLH503hpJUTxqiNhnFw,Commvault,28
UC6h7EItjucPhOp4eANQKZLw,Tiger Group,22
UC8R8gYQQKVa2p_hn0XVFeqg,Montserrat College of Art,22
UC9h64cmkrYNIPhUWR52XJzw,reacHIRE,22
UC-10iF5IE81NV20mPR3Y8dg,Pissed Consumer,22
UC6KIVFM-t2lAceSPrtMHFfQ,Forward Financing,22
UCzAG9KcgLBxTA99Lw2_RVIw,Martha Mompreneur • Beauty Goals MNL,22
UCQha7shk63UtWnM4haV0duA,NEWCOM,22
UCtfds6byH4TzyS6QwyF0zHA,Roby Brock,25
UC_N-iJ_2xZMRZNaKveqWr8Q,DIRECT IMPACT MEDIA,1
UC7eBNeDW1GQf2NJQ6G6gAxw,The Dave Ramsey Show,22
UCtszufLu7gCcZTfJnjluTlg,Smart Financial Planning,22
UCWsziOkax59CA7KBSi4SLsQ,MarquesHoustonVEVO,10
UCl0It9cuBpyq7MSvAPQnGWw,Bruce Wannng,24
UCiWfw9XSLawu-Ytlh4A_3Hg,WeMakeScholars,27
UCb0Vk_BudV3WH9MSGM-joDQ,FinancialNewsOnline,25
UCOGo_D5cnpnbX0CBxhv1FKg,Freedom Financial Network,22
UCRMFeUuaHIDVnRInCYc08Kg,Immersive Tech TV,1
UCyMxCUyA4H60_Rmm1xHXing,FrugalChicLife,22
UCV0YoKMl6wkbtYI1PbJXPSA,SIMZVideo,1
UCBuIl-Fi0j_APvaoJiKPKoA,MPE.tv,27
UCtR2BnkejcU2XeWxnNIV-oA,San Francisco Fire Department PIO,23
UCTcr7MRatEPF8uwwVKoGGIg,Investigate Europe,25
UCZkGbe69WbGtcoatnRo5EjQ,Around The Coin,22
UCcChkLZLu80reTWxjSh7BUA,The Commercial Real Estate Show - Sponsored by Bull Realty,27
UCBGZ-FRw8UJqkj_eMV9TGDA,The Worth Project,27
UCkNgKCu9062P0CPyVoBI5sQ,Wealth Hacker - Jeff Rose,22
UC96nq-gVV0vy96gfYXfEhmA,CB Insights,28
UCS-j8enQVMxOZLvI9PdBUbg,Plaid,10
UCO1-LnV6M3IF5HscGCaL_zQ,Youland Inc.,22
UCjzcOPQDzrXhxM6OBiJ44ZQ,AB Corporate,27
UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,25
UCA0MDADBWmCFro3SXR5mlSg,Entertainment Access,24
UCYwXVB8x62xTV2QgWogoT-Q,RedwoodCU,22
UCg57uzEsaVm661d9qcB_pew,Compass,28
UCGaOvAFinZ7BCN_FDmw74fQ,Expedia,19
UCpbxLwLMyyYCljELcL5BhBA,Jeff Leighton,27
UCGnBRumQwHu7l-lW32kLlZQ,The Currency Shop,27
UCrBrOSlU5GNq_SpDUhMXodA,ParallelAdvisors,27
UCIi4K3Gk3hULdetAoPDd-WQ,Finovate TV,28
UCWurpJwOoYAVvEsDCJneQMQ,Accountingfly,27
UCxxtTl3CMNxQE2qT5QPBnIg,TheFinancialBrand,27
UClBG1PaS7GKmq7ZnRjFLs3w,Center for Financial Services Innovation (CFSI),29
UCfFIpsY4Ewjuw080m8ZJnIA,Armanino LLP,27
UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,22
UCD9C6LibCd-2xNGYvRxMknw,Bplans,27
UCi2_GHp7gFApHnyxxTbZSlQ,Rachel Travis,22
UC2Tux4Bnp5-YUhMeiZBE2yA,DanNielsen72,27
UCsu6dlNar2xo_8h_7tG6eyA,ChevyLuvsMakeup,26
UCfmYsEpGyq9enXyKoj1iL0Q,Angell EYE,28
UCsF6SQH83EM7wI4Z8MCiCsQ,My expat,26
UCgd5b3bchlTVwFm1B_b52EA,Aspiriant Wealth Management,1
UCrVWNQQ-qfZld6XCG3PGAew,TheBalancingAct,24
UC1XrG1M_hw8103zO2x-oivg,Galileo,24
UCwQUHnxzx-9-LwsaHJ_4qLA,lola jesica,22
UCkmAwfnEncaJsTywMuNEMTQ,network888marketing,22
UCXc_P8cKMbUvHFyDwAtz--Q,Michael Kitces,22
UC8vGSLf2INAj4hvbEZWsT0Q,Genovese Burford & Brothers,22
UCZku3s4j5FJSBULMKu1J6hg,LocktonCompanies,22
UCR6LrJk1syooFhxUwOL5tsQ,STANDARD INSURANCE,22
UCn2pRnyRK-eoPcv5FSC918Q,CorporateFilming / EventFilming,22
UCE60kNwW4romvsmlN284tzA,Wolters Kluwer Tax & Accounting US,24
UCMygr0IPbbTaGmyGJRaXMyQ,Blue Lab Media,1
UCeSMMiZvduz3PWCD5lCbFgg,Shawnee Olson,22
UCYrhedDvzLu9cFR13MTwYrA,Answer Financial,2
UCbGBWwt5yGD2Pgb_m-gpMRg,Mulligan Funding LLC,27
UC44lGiIjoQKEoU8rqHdKNig,Sunwest Bank,22
UCvXilnbH-QPOdg3Rr0KyafA,TeamHarmonie,28
UC4FoRhViVqJ0kFL2ob2eAaA,Sergei Lemberg,22
UCl2nDcjt97_P-DNakiGfMpw,BankLogin,22
UCKTXaAgjP4eRCnWTgQkRXhA,Navatar Group,28
UC9hQEFniTG0Y5wqyINNJ7HQ,FoxEight Sales,1
UCLnlmc4jwZEOevsxbFjf7gA,SmarterSanDiego,26
UCjtW8NX3eNlp88_vpv9kngw,FOX New Mexico,24
UCMnWMoZd1ouow-tTEzr2HqA,Foothill Credit Union,29
UCYzcEu_uaP1z8IWaVk8mSmw,loanDepot,22
UC5YeNqtpbbm0wY-t_-633DQ,Evergreen Home Loans Home Office NMLS #3182,22
UCnmfZf8y6Ka54DIp_vuV-Jw,OpenOilTV,27
UCczJSXzIAdA19Rb7hyLkDPQ,CBC Federal Credit Union,22
UCPSdEAGnO-yHFGbq9uZNDnw,Lance Mohr,27
UCPYXGR0B9L8JVDF9h6JpgKA,eCapital Advisors,28
UCIoiCNYT7VEb7anQzMgBSoA,Cn Bank,22
UCNhKRUimTAsB851JUUDt8yg,CentricBank,25
UCURgAKPV1wrwOqvPmJPeZ-A,Executive Platforms,22
UC9vyBMZ5M6mGtZ4hFCmXsLw,Scott Recchia,23
UCdMbo3RknL1cwOxnd_cdNUA,TradeTheTrend,25
UCdMbo3RknL1cwOxnd_cdNUA,TradeTheTrend,25
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,25
UCOU3Ex1nCLe7u-wtgO0A5Pg,The Dividend Experiment,27
UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,25
UCO7cMdg6HgFHYBAn72jhbWg,SherylAnnann Pughpugh,1
