Company_Id,videoId,viewCount,commentCount,likeCount,dislikeCount,channelId,tags,publishedAt
C00001,_ObwDOiPcPE,914,0,9,1,UCIALMKvObZNtJ6AmdCLP7Lg,['Bloomberg'],2019-02-21T08:09:07.000Z
C00002,3KzksUUVpS4,2251,5,29,2,UC5deUW7Kadp7x2wHZ48AQRw,"['buffett 2013', '2013 berkshire hathaway', '2013 berkshrie', 'berkshire 2013', '2013 buffett', 'berkshire hathaway 2013', 'munger 2013', '2013 charlie munger', 'charlie munger 2013', '2013 munger', 'Berkshire Hathway', 'Berkshire', 'berkshire hathaway annual meeting', 'Warren Buffett', 'Buffett', 'buffett interest rate', 'Charlie Munger', 'buffett gdp', 'meeting', 'Munger', 'buffett books intrinsic value', 'buffett tax rate', 'charlie', 'warren', 'hathaway', 'annual', 'buffett federal reserve', 'federal reserve', 'fed']",2018-07-19T07:08:19.000Z
C00003,y4luue9VZag,278866,500,3670,359,UCLpcyeOMyhRUifU3cn1AEhQ,"['Students', 'student', 'uk', 'university', 'entrepreneur', 'internship', 'intern', 'insight week', 'goldman sachs', 'jp morgan', 'investment banking', 'investment', 'banking', 'finance', 'careers', 'corporate ladder', 'interviews', 'interview', 'questions', 'advice', 'mentor', 'mentee', 'guidance', 'linkedin', 'youtube', 'viral', 'London', 'how much do investment bankers earn', 'investment banking pay', 'investment banking salary', 'investment banking bonuses', 'investment banking internship', 'a day in the life', 'bonuses and salaries', 'money']",2018-11-14T17:00:09.000Z
C00004,8MsuagRd8pg,11344,74,124,23,UCyxmNJp8tUblosjXWS9k_9Q,"['Citibank', 'Citibank USA', 'Citibank scam', 'Citibank Scandal', 'Citibank fraud', 'Citibank Debit Card', 'Citibank Commercial', 'Citibank Exposed']",2017-06-10T16:19:42.000Z
C00005,8NNk_FW27iQ,79829,748,550,53,UCNZyLULUQBp5e9Q1cKtvk6Q,"['CBS2 News At 11', 'Jessica Layton', 'Local TV', 'LaGuardia Airport', 'Queens', 'Astoria', 'New York']",2018-12-28T04:24:35.000Z
C00006,jz8TJnd3U1U,433,0,1,0,UCxWVnw8--2gWVJ4BF7ILeSw,,2019-03-28T18:37:04.000Z
C00007,lM_lW58wTdY,92,0,2,0,UCYmO1xmdjW-n-IGOBJeaH0A,"['Chris Lagno', 'BNYMELLON', 'Carol Noel', 'novick law', 'don novick', 'Grace Allen', 'samuel Oppenheimer', 'Ludwig Bamberger', 'Russian mafia', 'bank fraud', 'misrepresentation']",2019-01-09T18:50:52.000Z
C00008,dp8PhLsUcFE,3293293,2,11625,1389,UCUMZ7gohGI9HcU9VNsr2FJQ,"['News', 'bloomberg', 'wall street', 'brexit', 'markets', 'finance', 'investing', 'business', 'donald trump', 'livestream', 'president', 'america', 'politics', 'senate', 'congress', 'davos', 'interest rates', 'janet yellen', 'GDP', 'Stock market', 'equities', 'stocks', 'bitcoin', 'cryptocurency', 'federal reserve']",2018-11-06T18:55:47.000Z
C00009,eSXCY2Hhc_s,2139,3,16,1,UCE2606prvXQc_noEqKxVJXA,,2017-11-23T04:32:14.000Z
C00010,wjmIIBvSPfs,840,0,6,0,UCIALMKvObZNtJ6AmdCLP7Lg,['Bloomberg'],2018-09-12T16:28:31.000Z
C000011,S09sYBVo2Es,201699,178,1864,155,UCNjPtOCvMrKY5eLwr_-7eUg,"['Alux', 'Alux.com', 'Alux Youtube', 'luxury living', 'luxury lifestyle', 'luxury homes', 'luxury cars', 'alux watches', 'fine living', 'most expensive things in the world', 'new life', 'most expensive', 'extravagant things', 'billionaire lifestyle', 'tiffany & co.', 'tiffany & co diamonds', 'blue box package', 'tiffany', ""breakfast at tiffany's"", 'tiffany ring', 'tiffany jewelry', 'tiffany engagement', 'necklace', 'commercial', 'unboxing', ""tiffany's review"", 'history', 'documentary', 'luxury brand', ""most expensive tiffany's""]",2017-07-09T16:08:21.000Z
C000012,JxpVNfNHIV8,884,1,0,0,UC8yH-uI81UUtEMDsowQyx1g,"['SABC News', 'actuality', 'world news', 'local news', 'Iraj Abedian', 'Cyril Ramaphosa', ""Moody's""]",2019-03-29T17:40:20.000Z
C000013,vCIWokkuotY,78,1,2,0,UCX3J5LGdWHwp4wqXYulQ2uw,"['complot', 'mundial', 'citigroup', 'capitalismo', 'nuevo orden mundial', 'censura', 'cobardes']",2011-06-27T20:27:52.000Z
C000014,gurZ25EiM2M,66507,[],347,11,UCkwx042y-SOBDbIk6SrMU5g,"['Investment Banking (Industry)', 'Internship (Job Title)', 'Morgan Stanley (Business Operation)', 'career', 'Finance (Industry)']",2015-11-06T11:43:48.000Z
C000015,nOTT0JHgVOs,728,0,2,0,UCG2B6emunc-8ACAChpHv0qQ,,2017-07-24T14:04:19.000Z
C000016,QrVVSoqwnq8,700,0,10,0,UCIALMKvObZNtJ6AmdCLP7Lg,['Bloomberg'],2018-04-02T15:12:29.000Z
C000017,ktSQZP_vYug,3829,0,14,0,UCJLo-ihNo6sVMPvRzGVPRoQ,,2013-10-07T21:48:20.000Z
C000018,5F55aaWWm5Q,489,0,2,0,UCDhqADfY8S2N8BfrffZAc2w,"['nasdaq', 'stock market', 'stocks', 'finance', 'financial', 'trading', 'trader', 'stock']",2019-04-04T14:00:48.000Z
C000019,TjoyJ97rQwk,73890,208,487,29,UCBcVQr-07MH-p9e2kRTdB3A,"['Driving', 'Downtown', 'Main', 'Street', 'St', 'Hartford', 'Connecticut', 'CT', 'USA', 'US', 'America', '4K', 'NRK', 'Slow TV', 'Drivelapse', 'Tour', 'Relax', 'Relaxation', 'Infrastructure', 'Roads', 'J Utah', 'Insurance', 'Wadsworth Atheneum', 'Mark Twain House', 'Aetna', 'Conning & Company', 'Phoenix Companies', 'UnitedHealthcare', 'Steam Boiler', 'Hartford Steam Boiler', 'Travelers', 'Lincoln National', 'Financial Services Group', 'Guide', 'Attractions', 'Walking', 'Things To Do', 'Visit', 'Museum', 'Stage', 'Science Center', 'state', 'capital', 'capitol', 'Bushnell', 'Harriet Beecher Stow', 'xl']",2016-09-27T23:30:00.000Z
C000020,ZjHdsC_5cgc,9417,1,27,5,UCjFf4oKibYrHae2NZ_GPS6g,"['bms', 'bristol-myers squibb', 'bristol myers squibb', 'bmy', 'bristol myers', 'bmy stock', 'csr', 'corporate social responsibility', 'Bristol-Myers Squibb (Business Operation)', 'Health (Industry)', 'Medicine (Field Of Study)']",2015-09-25T19:32:28.000Z
C000021,a96xyti6L2k,200,1,1,0,UCEAZeUIeJs0IjQiqTCdVSIg,"['Yahoo Finance', 'Personal Finance', 'Money', 'Investing', 'Business', 'Savings', 'Investment', 'Stocks', 'Bonds', 'FX', 'Currencies', 'NYSE', 'Equities', 'News', 'Politics', 'Market', 'Markets', 'Market Movers', 'Midday Movers', 'The Final Round', 'MassMutual', 'Roger Crandall', 'Smithsonian', 'government shutdown', 'US economy', 'Davos', 'World Economic Forum']",2019-01-24T15:27:34.000Z
C000022,VRC_NoBZIuU,11366,[],38,4,UChddg9J9S18jJJDbRFY-dZQ,"['UBS', 'Finance', 'Bank', 'Banking', 'Wealth', 'Wealth management', 'careers', 'jobs', 'work', 'culture', 'people', 'client advisor', 'wealth', 'manager', 'relationship manager', 'investment', 'advisor', 'specialist', 'New York', 'Singapore']",2018-09-25T09:25:59.000Z
C000023,ySIUHo8Uv0A,4984,[],31,5,UCtHZ1qs5h4sx9TijVBQCMIA,"['Bank of America', 'BofA', 'BOA', 'Preferred Rewards', 'Rewards program', 'Preferred rewards requirements', 'ARY7XBFK', 'T/D/T ARY7BFK']",2017-09-07T16:53:40.000Z
C000024,46ZgykT2Q00,2461,[],16,2,UC3Qf9sdJmOKPi17WiBr_liA,"['LPL Focus', 'LPL', 'Financial', 'LPL FInancial', 'History', 'Advisor', 'Story', 'Origin', 'Official', 'Linsco', 'Private Ledger', 'About']",2018-04-06T21:03:20.000Z
C000025,qnskwH6Zpfc,54464,51,330,30,UC2nd2XJDCPRY5h2K8QZ8cIQ,"['ZS interview', 'ZS Interview questions', 'ZS interview queries', 'ZS Interview tips', 'Delhi College Of Engineering (College/University) placements', 'case interview', 'case study', 'zs associate', 'ZS Associate Interview', 'how to', 'crack', 'prepare', 'business analyst', 'profile', 'and BA', 'engineering', 'interview for engineers']",2015-07-15T10:07:55.000Z
C000026,9YNP78qCxMM,447,[],2,0,UCSt7w2vc20tirZIJBJYNGwg,"['senior living', 'senior housing', 'seniors living', 'seniors housing', 'senior living technology', 'senior housing technolgy', 'modern senior housing', 'nic talks', 'Bob Hillis', 'Direct Supply']",2017-10-13T14:43:22.000Z
C000027,KbqSDGHIQE0,601,4,17,0,UCNcKBY9zah9hLKyu9-6p8CQ,"['tiaa cref', 'tiaa-cref', 'tiaa cref commercial', 'tiaa cref home', 'tiaa cref log in', 'tiaa cref retirement', 'tiaa cref retirement options', 'tiaa-cref lifecycle index', 'How does tiaa cref work', 'what is tiaa cref', 'tiaa', 'tiaa tax sheltered annuity', 'What is tiaa', 'annuities', 'djh capital', 'dominique henderson', 'retirement', 'youtube cfp']",2018-12-31T15:15:00.000Z
C000028,zJYYsiCmxs4,24050,60,648,75,UCtlAFoYl2aWb6pMiHCctQHA,"['stocks', 'how to trade stocks', 'stock market', 'how to day trade', 'penny stocks', 'top stocks to trade', 'stock trading', 'top stocks', 'penny stocks to trade', 'top stocks to buy', 'stock', 'top penny stocks to buy', 'top stocks to buy in 2018', 'how to trade penny stocks', 'how to swing trade stocks', 'how to trade stocks online', 'december stocks', 'weed stocks', 'ricky gutierrez', 'robinhood app', 'td ameritrade', 'how to grow your account', 'how to profit', 'how to trade on td ameritrade', 'tos', 'robinhood account']",2018-12-19T16:56:39.000Z
C000029,lMfwi8WVox8,0,0,0,0,UCThDMQtlAixvEJmUP1uk7BQ,"[""What it's like to work at Lynden Incorporated"", 'How to get a job at Lynden Incorporated', 'Career at Lynden Incorporated', 'Working at Lynden Incorporated', 'CEO', 'Salary', 'Employees', 'Hiring Process', 'Recruitment Process', 'Interview Questions', 'Employee Reviews', 'Culture', 'Women in Tech', 'Jobs', 'Office', 'Diversity']",2018-10-11T17:17:45.000Z
C000030,sKKDD7dm0Lg,43891,95,561,42,UCEVXhsR6e3D522BHQj9MlLg,"['the credit shifu', 'charles schwab', 'schwab high yeild investor checking', 'schwab one brokerage account', 'charles schwab card', 'schwab credit card', 'amex platinum for charles schwab', 'best brokerage account', 'vanguard', 'buying stocks', 'investing', 'etfs', 'mutual funds', 'how to invest', 'no atm fee card', 'best debit card', 'schwab debit card', 'td ameritrade']",2017-05-15T15:25:41.000Z
C000031,HYahrNPwl3A,302,0,0,0,UCTKRnYeNOK6_ojmaZvLFgkg,"['REALTOR®', 'realtor', 'real estate', 'training', 'tutorial', 'educational', 'business', 'market']",2017-03-17T17:39:49.000Z
C000032,XcfVG7_ADk0,508,0,4,1,UCp6ZoqiDo8bbEXd_tKi8mDg,"['Rabobank', 'career', 'jobs']",2019-02-19T10:40:13.000Z
C000033,qB41rJyu9Z4,28995,170,623,51,UCt_oM56Ui0BCCgi0Yc-Wh3Q,"['crypto', 'bitcoin', 'wells fargo', 'cryptocurrency', 'crypto banks', 'crypto bobby']",2019-02-07T20:33:10.000Z
C000034,mNjzHwNdoS8,25659,22,449,20,UC-925PwPMVZKEN59r7Rbndg,"['capital one platinum', 'capital one', 'capital one platinum mastercard', 'capital one platinum card', 'capital one platinum review', 'credit', 'credit card', 'credit card review', 'no credit', 'visa', 'cash back', 'capital one mastercard', 'capital one platinum credit card', 'capital one platinum credit card review', 'capital one credit card', 'mastercard', 'capital one credit card review', 'capital one card', 'capital one cards', 'capital one credit cards', 'capital one secured card', 'fair credit', 'fico']",2018-06-21T13:00:03.000Z
C000036,4k50w-E6_FM,99,0,0,0,UCTkbWRteofDmfGVKNCgCsKg,,2017-02-13T16:27:51.000Z
C000037,XmUGG5LMzgU,1122,1,18,2,UCIALMKvObZNtJ6AmdCLP7Lg,['Bloomberg'],2018-04-09T13:18:09.000Z
C000038,pXGKvRZ_2qg,1,0,0,0,UCSB1_ReQNDOHVQrHDjr6WYQ,,2016-01-21T17:11:25.000Z
C000039,hX0Kvl3NuOk,4341,0,8,0,UCkxVamKbKdrKKbl7UclUWwA,,2011-10-24T14:14:15.000Z
