,job_location
1300,"Hyderabad, Telangana"
1301,"Bengaluru, Karnataka"
1302,"Bengaluru, Karnataka"
1303,"Delhi, Delhi"
1304,Remote
1305,"Gurgaon, Haryana"
1306,"Mumbai, Maharashtra"
1307,"Hyderabad, Telangana"
1308,"Indian Institute of Technology Bombay campus, Mumbai, Maharashtra"
1309,"Chennai, Tamil Nadu"
1310,"Bengaluru, Karnataka"
1311,"Gurgaon, Haryana+1 location"
1312,"Remote in Bengaluru, Karnataka"
1313,"Chennai, Tamil Nadu"
1314,"Bengaluru, Karnataka"
1315,"Mumbai, Maharashtra"
1316,"Pune, Maharashtra"
1317,"Chennai, Tamil Nadu"
1318,"Gurgaon, Haryana"
1319,"Gurgaon, Haryana"
1320,"Bengaluru, Karnataka"
1321,"Mumbai, Maharashtra"
1323,"Hyderabad, Telangana"
1324,"Mumbai, Maharashtra"
1325,"Bengaluru, Karnataka"
1326,"Bengaluru, Karnataka"
1327,"Hyderabad, Telangana"
1328,"Bengaluru, Karnataka"
1329,"Bengaluru, Karnataka"
1330,"Gurgaon, Haryana"
1331,"Bengaluru, Karnataka"
1332,"Patna, Bihar"
1333,"Delhi, Delhi"
1334,"Noida, Uttar Pradesh"
1335,"Delhi, Delhi"
1336,"Bengaluru, Karnataka"
1337,"Bengaluru, Karnataka"
1338,"Gurgaon, Haryana"
1339,"Vasai, Maharashtra"
1340,"Chennai, Tamil Nadu"
1341,"Bengaluru, Karnataka"
1342,"Chennai, Tamil Nadu+1 location"
1343,"Gurgaon, Haryana"
1344,"Bengaluru, Karnataka"
1345,"Bengaluru, Karnataka"
1346,India
1347,"Ahmedabad, Gujarat"
1348,"Pune, Maharashtra"
1349,"Bengaluru, Karnataka"
1350,"Bengaluru, Karnataka"
1351,"Indore, Madhya Pradesh"
1354,"Pune, Maharashtra"
1355,"Sahibzada Ajit Singh Nagar, Punjab"
1356,"Mumbai, Maharashtra+1 location"
1358,"Bengaluru, Karnataka"
1359,"Bengaluru, Karnataka"
1360,"Hyderabad, Telangana"
1361,"Noida, Uttar Pradesh"
1362,"Navi Mumbai, Maharashtra"
1363,"Bengaluru, Karnataka+3 locations"
1364,"Gurgaon, Haryana"
1365,"Gurgaon, Haryana"
1366,"Bengaluru, Karnataka"
1367,Temporarily Remote in Delhi
1368,"Bengaluru, Karnataka"
1369,"Bengaluru, Karnataka"
1370,"Temporarily Remote in Bhubaneshwar, Orissa"
1371,"Gurgaon, Haryana"
1372,"Bengaluru, Karnataka"
1374,Remote
1375,"Mumbai, Maharashtra"
1376,Remote
1377,"Chennai, Tamil Nadu"
1379,"Bengaluru, Karnataka+1 location"
1380,"Bengaluru, Karnataka"
1381,"Pune, Maharashtra"
1382,"Hyderabad, Telangana"
1383,"Jalandhar, Punjab"
1384,"New Delhi, Delhi"
